學年度,洲別,國別,學位生_正式修讀學位外國生[人],學位生_僑生(含港澳)[人],學位生_正式修讀學位陸生[人],非學位生_外國交換生[人],非學位生_外國短期研習及個人選讀[人],非學位生_大專附設華語文中心學生[人],非學位生_大陸研修生[人],非學位生_馬來西亞華裔青年來台就學輔導及技職研習專班[人],境外專班[人]
112,大洋洲,索羅門群島,10,0,0,0,0,0,0,0,0
112,大洋洲,吉里巴斯,2,0,0,0,0,5,0,0,0
112,大洋洲,萬那杜,1,0,0,0,0,0,0,0,0
112,非洲,史瓦帝尼王國,361,3,0,0,0,156,0,0,0
112,非洲,衣索比亞,178,0,0,0,2,11,0,0,0
112,非洲,南非,48,39,0,0,1,43,0,0,0
112,非洲,索馬利蘭共和國,62,0,0,0,0,37,0,0,0
112,非洲,坦尚尼亞,70,0,0,0,0,12,0,0,0
112,非洲,奈及利亞,44,2,0,0,1,20,0,0,1
112,非洲,蒲隆地,43,0,0,0,0,22,0,0,0
112,非洲,埃及,47,0,0,0,3,15,0,0,0
112,非洲,馬拉威,51,0,0,0,1,5,0,0,0
112,非洲,烏干達,25,0,0,0,0,11,0,0,0
112,非洲,摩洛哥,4,0,0,4,0,24,0,0,0
112,非洲,甘比亞,25,0,0,0,0,1,0,0,0
112,非洲,肯亞,11,0,0,0,4,10,0,0,0
112,非洲,莫三比克,14,0,0,0,0,5,0,0,0
112,非洲,布吉納法索,10,0,0,0,0,4,0,0,0
112,非洲,突尼西亞,1,0,0,4,1,5,0,0,0
112,非洲,賴索托,2,0,0,0,0,8,0,0,0
112,非洲,辛巴威,5,0,0,0,0,4,0,0,0
112,非洲,盧安達,4,0,0,0,1,3,0,0,0
112,非洲,塞內加爾,7,0,0,1,0,0,0,0,0
112,非洲,蘇丹,3,0,0,0,3,0,0,0,0
112,非洲,剛果民主共和國,3,0,0,0,0,3,0,0,0
112,非洲,剛果,4,0,0,0,0,1,0,0,0
112,非洲,象牙海岸,2,0,0,2,1,0,0,0,0
112,非洲,納米比亞,1,2,0,0,2,0,0,0,0
112,非洲,貝南,2,0,0,0,0,2,0,0,0
112,非洲,迦納,2,0,0,0,0,2,0,0,0
112,非洲,喀麥隆,1,0,0,0,0,2,0,0,0
112,非洲,加彭,0,0,0,3,0,0,0,0,0
112,非洲,模里西斯,2,1,0,0,0,0,0,0,0
112,非洲,獅子山共和國,3,0,0,0,0,0,0,0,0
112,非洲,索馬利亞民主共和國,2,0,0,0,0,1,0,0,0
112,非洲,尚比亞,2,0,0,0,0,1,0,0,0
112,非洲,幾內亞,0,0,0,0,0,2,0,0,0
112,非洲,利比亞,2,0,0,0,0,0,0,0,0
112,非洲,馬利,0,0,0,0,1,1,0,0,0
112,非洲,阿爾及利亞,0,0,0,0,1,0,0,0,0
112,非洲,波札那,0,0,0,0,0,1,0,0,0
112,非洲,查德,0,0,0,0,0,1,0,0,0
112,非洲,馬達加斯加,0,0,0,0,0,1,0,0,0
112,非洲,多哥,1,0,0,0,0,0,0,0,0
112,歐洲,法國,141,7,0,1077,67,826,0,0,1
112,歐洲,德國,138,4,0,615,100,647,0,0,0
112,歐洲,英國,72,7,0,107,46,584,0,0,0
112,歐洲,荷蘭,26,1,0,152,11,192,0,0,0
112,歐洲,西班牙,41,4,0,144,9,170,0,0,0
112,歐洲,義大利,58,1,0,102,21,152,0,0,0
112,歐洲,波蘭,51,1,0,40,33,167,0,0,0
112,歐洲,捷克,27,0,0,101,37,112,0,0,0
112,歐洲,比利時,17,2,0,63,3,104,0,0,0
112,歐洲,奧地利,31,0,0,59,21,76,0,0,0
112,歐洲,丹麥,4,0,0,33,4,135,0,0,0
112,歐洲,烏克蘭,71,0,0,9,3,81,0,0,0
112,歐洲,瑞典,5,0,0,69,1,60,0,0,0
112,歐洲,挪威,7,1,0,44,2,77,0,0,0
112,歐洲,芬蘭,7,0,0,65,1,56,0,0,0
112,歐洲,瑞士,15,0,0,36,4,69,0,0,0
112,歐洲,匈牙利,17,1,0,22,9,65,0,0,0
112,歐洲,斯洛伐克,9,0,0,24,17,53,0,0,0
112,歐洲,立陶宛,4,0,0,29,19,45,0,0,0
112,歐洲,葡萄牙,9,9,0,7,3,21,0,0,0
112,歐洲,愛爾蘭,10,1,0,2,0,25,0,0,0
112,歐洲,羅馬尼亞,6,0,0,8,5,10,0,0,0
112,歐洲,克羅埃西亞,3,0,0,4,1,10,0,0,0
112,歐洲,拉脫維亞,5,0,0,5,1,6,0,0,0
112,歐洲,希臘,1,0,0,1,3,11,0,0,0
112,歐洲,保加利亞,0,0,0,4,4,6,0,0,0
112,歐洲,白俄羅斯,5,0,0,1,2,5,0,0,0
112,歐洲,斯洛維尼亞,3,0,0,5,0,4,0,0,0
112,歐洲,愛沙尼亞,2,0,0,3,1,3,0,0,0
112,歐洲,盧森堡,1,0,0,5,1,1,0,0,0
112,歐洲,塞爾維亞共和國,2,0,0,0,0,5,0,0,0
112,歐洲,阿爾巴尼亞,2,0,0,0,0,3,0,0,0
112,歐洲,科索沃共和國,1,0,0,0,3,1,0,0,0
112,歐洲,冰島,0,0,0,0,0,1,0,0,0
112,歐洲,列支敦斯登,0,0,0,1,0,0,0,0,0
112,美洲,美國,409,137,0,295,769,3431,0,0,8
112,美洲,加拿大,59,128,0,50,26,263,0,0,2
112,美洲,貝里斯,239,2,0,0,0,110,0,0,0
112,美洲,宏都拉斯,165,1,0,0,0,118,0,0,0
112,美洲,墨西哥,54,7,0,28,21,117,0,0,2
112,美洲,瓜地馬拉,115,4,0,1,0,97,0,0,10
112,美洲,海地,126,0,0,0,0,72,0,0,0
112,美洲,聖露西亞,129,0,0,0,0,51,0,0,0
112,美洲,聖文森,102,0,0,0,0,57,0,0,0
112,美洲,尼加拉瓜,43,2,0,0,0,8,0,0,0
112,美洲,薩爾瓦多,21,3,0,1,0,7,0,0,0
112,美洲,巴拿馬,11,4,0,0,1,4,0,0,0
112,美洲,哥斯大黎加,3,5,0,0,0,5,0,0,0
112,美洲,多明尼加,2,7,0,0,0,4,0,0,0
112,美洲,千里達,0,0,0,2,3,0,0,0,0
112,美洲,牙買加,1,0,0,0,0,2,0,0,0
112,美洲,巴哈馬,2,0,0,0,0,0,0,0,0
112,美洲,格瑞那達,1,0,0,0,0,0,0,0,0
112,美洲,巴拉圭,186,16,0,94,5,144,0,0,5
112,美洲,巴西,30,38,0,21,12,77,0,0,0
112,美洲,聖克里斯多福,65,0,0,0,0,34,0,0,0
112,美洲,秘魯,41,1,0,3,0,35,0,0,0
112,美洲,阿根廷,9,38,0,2,4,24,0,0,1
112,美洲,哥倫比亞,38,2,0,7,0,27,0,0,2
112,美洲,智利,14,8,0,1,1,19,0,0,3
112,美洲,厄瓜多,14,7,0,2,0,15,0,0,2
112,美洲,委內瑞拉,5,5,0,3,5,4,0,0,0
112,美洲,玻利維亞,5,2,0,0,0,2,0,0,0
112,美洲,蘇利南,0,0,0,0,0,1,0,0,0
112,美洲,烏拉圭,0,0,0,0,0,0,0,0,1
