學年度,洲別,國別,學位生_正式修讀學位外國生[人],學位生_僑生(含港澳)[人],學位生_正式修讀學位陸生[人],非學位生_外國交換生[人],非學位生_外國短期研習及個人選讀[人],非學位生_大專附設華語文中心學生[人],非學位生_大陸研修生[人],非學位生_海外青年就學輔導技術研習班[人],境外專班[人]
113,非洲,摩洛哥,4,0,0,7,5,10,0,0,0
113,非洲,肯亞,18,0,0,0,1,6,0,0,0
113,非洲,甘比亞,21,0,0,0,0,0,0,0,0
113,非洲,布吉納法索,15,0,0,1,0,5,0,0,0
113,非洲,迦納,6,0,0,3,4,0,0,0,2
113,非洲,突尼西亞,3,0,0,3,3,5,0,0,0
113,非洲,辛巴威,6,0,0,0,0,6,0,0,1
113,非洲,象牙海岸,3,0,0,1,0,4,0,0,0
113,非洲,塞內加爾,6,0,0,1,0,0,0,0,0
113,非洲,剛果,2,0,0,1,2,1,0,0,0
113,非洲,盧安達,5,0,0,0,1,0,0,0,0
113,非洲,索馬利亞民主共和國,5,0,0,0,0,1,0,0,0
113,非洲,剛果民主共和國,4,0,0,0,0,2,0,0,0
113,非洲,蘇丹,1,0,0,0,3,1,0,0,0
113,非洲,貝南,3,0,0,0,0,1,0,0,0
113,非洲,賴索托,3,0,0,0,0,1,0,0,0
113,非洲,模里西斯,2,1,0,0,0,1,0,0,0
113,非洲,獅子山共和國,3,0,0,1,0,0,0,0,0
113,非洲,波札那,0,0,0,0,0,3,0,0,0
113,非洲,喀麥隆,3,0,0,0,0,0,0,0,0
113,非洲,利比亞,1,0,0,0,1,1,0,0,0
113,非洲,納米比亞,1,1,0,0,0,1,0,0,0
113,非洲,阿爾及利亞,0,0,0,1,1,0,0,0,0
113,非洲,查德,0,0,0,1,0,1,0,0,0
113,非洲,幾內亞,0,0,0,2,0,0,0,0,0
113,非洲,馬達加斯加,1,0,0,0,0,1,0,0,0
113,非洲,安哥拉,0,0,0,0,0,0,0,0,1
113,非洲,尼日,0,0,0,1,0,0,0,0,0
113,非洲,多哥,1,0,0,0,0,0,0,0,0
113,非洲,尚比亞,1,0,0,0,0,0,0,0,0
113,非洲,南蘇丹共和國,1,0,0,0,0,0,0,0,0
113,歐洲,法國,146,6,0,1153,77,667,0,0,0
113,歐洲,德國,133,4,0,653,86,437,0,0,0
113,歐洲,英國,73,7,0,101,37,417,0,0,0
113,歐洲,西班牙,45,2,0,183,20,136,0,0,0
113,歐洲,波蘭,44,2,0,64,48,162,0,0,0
113,歐洲,荷蘭,16,1,0,173,4,110,0,0,0
113,歐洲,義大利,54,1,0,95,22,107,0,0,0
113,歐洲,捷克,29,0,0,110,46,72,0,0,0
113,歐洲,比利時,15,2,0,101,6,72,0,0,0
113,歐洲,瑞士,12,0,0,57,35,52,0,0,0
113,歐洲,烏克蘭,73,0,0,16,5,56,0,0,0
113,歐洲,瑞典,7,0,0,89,7,46,0,0,0
113,歐洲,奧地利,28,0,0,42,9,48,0,0,0
113,歐洲,芬蘭,5,0,0,63,8,36,0,0,0
113,歐洲,挪威,7,0,0,44,5,46,0,0,0
113,歐洲,匈牙利,18,2,0,28,9,43,0,0,0
113,歐洲,丹麥,5,0,0,51,4,31,0,0,0
113,歐洲,立陶宛,8,0,0,27,14,28,0,0,0
113,歐洲,斯洛伐克,7,0,0,22,6,28,0,0,0
113,歐洲,葡萄牙,9,9,0,11,1,16,0,0,0
113,歐洲,愛爾蘭,9,0,0,4,3,22,0,0,0
113,歐洲,羅馬尼亞,3,0,0,7,19,7,0,0,0
113,歐洲,斯洛維尼亞,5,0,0,10,2,11,0,0,0
113,歐洲,希臘,2,0,0,6,1,6,0,0,0
113,歐洲,白俄羅斯,4,1,0,1,1,8,0,0,0
113,歐洲,塞爾維亞共和國,4,0,0,2,6,1,0,0,0
113,歐洲,愛沙尼亞,1,0,0,4,1,5,0,0,0
113,歐洲,拉脫維亞,3,0,0,2,2,3,0,0,0
113,歐洲,盧森堡,2,0,0,3,0,4,0,0,0
113,歐洲,保加利亞,1,0,0,6,0,1,0,0,0
113,歐洲,阿爾巴尼亞,1,0,0,0,0,6,0,0,0
113,歐洲,克羅埃西亞,1,0,0,1,2,3,0,0,0
113,歐洲,科索沃共和國,1,0,0,0,1,0,0,0,0
113,歐洲,冰島,0,0,0,0,0,1,0,0,0
113,歐洲,馬爾他,0,0,0,1,0,0,0,0,0
113,歐洲,摩納哥,0,0,0,1,0,0,0,0,0
113,歐洲,北馬其頓共和國,0,0,0,1,0,0,0,0,0
113,美洲,美國,382,139,0,354,922,2400,0,0,7
113,美洲,加拿大,47,128,0,56,99,199,0,0,3
113,美洲,貝里斯,223,1,0,0,0,86,0,0,0
113,美洲,墨西哥,54,10,0,47,17,117,0,0,3
113,美洲,瓜地馬拉,114,1,0,6,0,77,0,0,15
113,美洲,海地,139,0,0,1,1,46,0,0,0
113,美洲,聖露西亞,130,0,0,0,0,55,0,0,0
113,美洲,聖文森,113,0,0,0,0,57,0,0,0
113,美洲,宏都拉斯,114,1,0,0,0,38,0,0,0
113,美洲,尼加拉瓜,31,3,0,0,0,4,0,0,0
113,美洲,千里達,0,0,0,1,25,0,0,0,0
113,美洲,薩爾瓦多,11,3,0,2,0,9,0,0,0
113,美洲,巴拿馬,8,3,0,1,0,4,0,0,0
113,美洲,哥斯大黎加,2,5,0,0,0,2,0,0,0
113,美洲,多明尼加共和國,1,6,0,0,0,0,0,0,0
113,美洲,巴哈馬,1,0,0,0,1,0,0,0,0
113,美洲,牙買加,1,0,0,0,0,1,0,0,0
113,美洲,格瑞那達,1,0,0,0,0,0,0,0,0
113,美洲,多米尼克,0,0,0,0,0,0,0,0,1
113,美洲,巴拉圭,212,19,0,0,1,134,0,0,9
113,美洲,巴西,20,31,0,7,28,61,0,0,0
113,美洲,阿根廷,10,38,0,1,2,39,0,0,4
113,美洲,秘魯,42,1,0,2,2,40,0,0,0
113,美洲,聖克里斯多福,60,0,0,0,0,26,0,0,0
113,美洲,哥倫比亞,31,2,0,5,3,21,0,0,1
113,美洲,智利,18,7,0,0,4,15,0,0,3
113,美洲,厄瓜多,15,10,0,0,0,18,0,0,3
113,美洲,委內瑞拉,6,5,0,1,0,6,0,0,0
113,美洲,玻利維亞,3,1,0,1,1,3,0,0,0
113,美洲,烏拉圭,0,0,0,0,0,0,0,0,1
114,亞洲,越南,37379,3561,0,155,636,11228,0,15,103
114,亞洲,印尼,6025,8535,0,517,429,3818,0,19,1
114,亞洲,馬來西亞,1567,6442,0,42,282,172,0,235,80
114,亞洲,日本,2242,177,0,682,2785,2842,0,0,1
114,亞洲,菲律賓,3210,380,0,44,722,1180,0,0,0
114,亞洲,香港,0,4680,0,92,300,31,0,0,0
114,亞洲,泰國,1432,525,0,257,1030,1500,0,0,2
114,亞洲,緬甸,552,3086,0,5,28,710,0,50,0
114,亞洲,大陸地區,0,0,1081,0,0,2,3030,0,0
114,亞洲,印度,1687,3,0,197,596,345,0,0,0
114,亞洲,南韓,419,137,0,311,484,961,0,0,0
114,亞洲,澳門,0,1530,0,22,29,2,0,0,0
114,亞洲,巴基斯坦,565,0,0,2,52,30,0,0,0
114,亞洲,蒙古,399,0,0,6,20,136,0,0,0
114,亞洲,新加坡,89,51,0,130,187,23,0,0,7
114,亞洲,俄羅斯,174,0,0,27,11,151,0,0,0
114,亞洲,柬埔寨,25,184,0,3,9,67,0,0,0
114,亞洲,土耳其,68,1,0,31,19,66,0,0,0
114,亞洲,吉爾吉斯,87,1,0,1,0,30,0,0,0
114,亞洲,伊朗,73,1,0,0,4,14,0,0,0
114,亞洲,尼泊爾,43,1,0,1,3,15,0,0,0
114,亞洲,以色列,8,0,0,15,2,29,0,0,0
114,亞洲,斯里蘭卡,42,0,0,0,2,1,0,0,0
114,亞洲,孟加拉,30,0,0,1,12,1,0,0,0
114,亞洲,約旦,20,4,0,0,5,15,0,0,0
114,亞洲,哈薩克,8,0,0,0,24,7,0,0,0
114,亞洲,寮國,21,1,0,1,0,8,0,0,0
114,亞洲,不丹,2,0,0,0,1,9,0,0,0
114,亞洲,葉門,9,0,0,1,2,0,0,0,0
114,亞洲,巴林,1,0,0,0,10,0,0,0,0
114,亞洲,伊拉克,6,0,0,0,0,5,0,0,0
114,亞洲,阿曼,1,0,0,0,10,0,0,0,0
114,亞洲,沙烏地阿拉伯,4,5,0,0,1,1,0,0,0
114,亞洲,烏茲別克,5,0,0,1,1,1,0,0,0
114,亞洲,土庫曼,5,0,0,0,0,2,0,0,0
114,亞洲,汶萊,2,2,0,0,0,2,0,0,0
114,亞洲,亞美尼亞,2,0,0,2,1,1,0,0,0
114,亞洲,巴勒斯坦,2,0,0,0,1,1,0,0,0
114,亞洲,喬治亞,1,0,0,0,3,0,0,0,0
114,亞洲,塔吉克,2,0,0,0,0,2,0,0,0
114,亞洲,阿富汗,2,0,0,0,0,1,0,0,0
114,亞洲,敘利亞,1,0,0,1,1,0,0,0,0
114,亞洲,亞塞拜然,1,0,0,0,2,0,0,0,0
114,亞洲,黎巴嫩,0,0,0,0,1,1,0,0,0
114,亞洲,東帝汶,2,0,0,0,0,0,0,0,0
114,亞洲,摩爾多瓦,0,0,0,0,1,1,0,0,0
114,亞洲,科威特,0,0,0,0,0,1,0,0,0
114,亞洲,馬爾地夫,0,0,0,0,1,0,0,0,0
114,大洋洲,澳大利亞,24,4,0,29,200,259,0,0,0
114,大洋洲,紐西蘭,12,7,0,9,30,23,0,0,0
114,大洋洲,馬紹爾群島共和國,38,1,0,0,0,35,0,0,0
114,大洋洲,帛琉,46,2,0,0,0,25,0,0,0
114,大洋洲,吐瓦魯,36,0,0,0,0,22,0,0,0
114,大洋洲,巴布亞紐幾內亞,13,1,0,0,0,0,0,0,0
114,大洋洲,斐濟,6,2,0,0,0,2,0,0,0
114,大洋洲,索羅門群島,7,0,0,0,0,0,0,0,0
114,大洋洲,吉里巴斯,3,0,0,0,0,3,0,0,0
114,大洋洲,諾魯,1,0,0,0,0,0,0,0,0
114,大洋洲,密克羅尼西亞,1,0,0,0,0,0,0,0,0
114,非洲,史瓦帝尼王國,457,1,0,0,4,138,0,0,0
114,非洲,衣索比亞,223,1,0,0,3,8,0,0,0
114,非洲,南非,58,44,0,0,1,37,0,0,0
114,非洲,索馬利蘭共和國,86,0,0,0,0,33,0,0,0
114,非洲,馬拉威,87,2,0,0,0,9,0,0,0
114,非洲,奈及利亞,72,2,0,1,13,7,0,0,0
114,非洲,坦尚尼亞,66,0,0,0,0,14,0,0,0
114,非洲,埃及,44,0,0,2,17,14,0,0,0
114,非洲,莫三比克,44,0,0,0,0,32,0,0,0
114,非洲,烏干達,31,0,0,0,2,30,0,0,0
114,非洲,蒲隆地,38,0,0,0,0,2,0,0,0
114,非洲,辛巴威,12,0,0,0,0,28,0,0,0
114,非洲,摩洛哥,5,0,0,7,5,16,0,0,0
114,非洲,肯亞,26,0,0,0,1,5,0,0,0
114,非洲,迦納,12,0,0,3,4,1,0,0,0
114,非洲,甘比亞,16,0,0,0,0,1,0,0,0
114,非洲,布吉納法索,9,0,0,1,0,4,0,0,0
114,非洲,突尼西亞,3,0,0,3,3,1,0,0,0
114,非洲,象牙海岸,3,0,0,1,0,3,0,0,0
114,非洲,賴索托,5,0,0,0,0,2,0,0,0
114,非洲,盧安達,4,0,0,0,1,1,0,0,0
114,非洲,剛果,1,0,0,1,2,1,0,0,0
114,非洲,獅子山共和國,4,0,0,1,0,0,0,0,0
114,非洲,阿爾及利亞,2,0,0,1,1,0,0,0,0
114,非洲,貝南,3,0,0,0,0,1,0,0,0
114,非洲,喀麥隆,3,0,0,0,0,1,0,0,0
114,非洲,幾內亞,0,0,0,2,0,2,0,0,0
114,非洲,模里西斯,2,0,0,0,0,2,0,0,0
114,非洲,塞內加爾,3,0,0,1,0,0,0,0,0
114,非洲,蘇丹,1,0,0,0,3,0,0,0,0
114,非洲,剛果民主共和國,3,0,0,0,0,1,0,0,0
114,非洲,利比亞,1,0,0,0,1,1,0,0,0
114,非洲,索馬利亞民主共和國,3,0,0,0,0,0,0,0,0
114,非洲,多哥,1,0,0,0,0,2,0,0,0
114,非洲,納米比亞,1,1,0,0,0,1,0,0,0
114,非洲,查德,0,0,0,1,0,1,0,0,0
114,非洲,馬達加斯加,1,0,0,0,0,1,0,0,0
114,非洲,尚比亞,1,0,0,0,0,1,0,0,0
114,非洲,南蘇丹共和國,2,0,0,0,0,0,0,0,0
114,非洲,波札那,0,0,0,0,0,1,0,0,0
114,非洲,尼日,0,0,0,1,0,0,0,0,0
114,歐洲,法國,143,5,0,1153,77,573,0,0,1
114,歐洲,德國,124,6,0,653,86,353,0,0,0
114,歐洲,英國,67,5,0,101,37,303,0,0,0
114,歐洲,西班牙,45,3,0,183,20,117,0,0,0
114,歐洲,義大利,56,1,0,95,22,139,0,0,0
114,歐洲,荷蘭,21,0,0,173,4,99,0,0,0
114,歐洲,捷克,31,0,0,110,46,81,0,0,0
114,歐洲,波蘭,48,2,0,64,48,97,0,0,0
114,歐洲,比利時,18,1,0,101,6,66,0,0,0
114,歐洲,瑞典,10,0,0,89,7,59,0,0,0
114,歐洲,奧地利,27,1,0,42,9,71,0,0,0
114,歐洲,瑞士,12,0,0,57,35,46,0,0,0
114,歐洲,烏克蘭,62,0,0,16,5,40,0,0,0
114,歐洲,芬蘭,5,0,0,63,8,32,0,0,0
114,歐洲,匈牙利,19,2,0,28,9,50,0,0,0
114,歐洲,立陶宛,10,0,0,27,14,27,0,0,0
114,歐洲,丹麥,4,0,0,51,4,17,0,0,0
114,歐洲,挪威,8,0,0,44,5,12,0,0,0
114,歐洲,斯洛伐克,9,0,0,22,6,22,0,0,0
114,歐洲,葡萄牙,4,12,0,11,1,10,0,0,0
114,歐洲,羅馬尼亞,3,0,0,7,19,5,0,0,0
114,歐洲,愛爾蘭,8,1,0,4,3,13,0,0,0
114,歐洲,斯洛維尼亞,3,0,0,10,2,6,0,0,0
114,歐洲,希臘,3,0,0,6,1,5,0,0,0
114,歐洲,白俄羅斯,5,0,0,1,1,5,0,0,0
114,歐洲,盧森堡,3,0,0,3,0,4,0,0,0
114,歐洲,愛沙尼亞,1,0,0,4,1,4,0,0,0
114,歐洲,拉脫維亞,2,0,0,2,2,4,0,0,0
114,歐洲,塞爾維亞共和國,2,0,0,2,6,0,0,0,0
114,歐洲,保加利亞,1,0,0,6,0,1,0,0,0
114,歐洲,克羅埃西亞,1,0,0,1,2,1,0,0,0
114,歐洲,阿爾巴尼亞,2,0,0,0,0,2,0,0,0
114,歐洲,科索沃共和國,2,0,0,0,1,1,0,0,0
114,歐洲,波士尼亞與赫塞哥維納,1,0,0,0,0,1,0,0,0
114,歐洲,北馬其頓共和國,0,1,0,1,0,0,0,0,0
114,歐洲,馬爾他,0,0,0,1,0,0,0,0,0
114,歐洲,摩納哥,0,0,0,1,0,0,0,0,0
114,美洲,美國,408,133,0,354,922,2465,0,0,2
114,美洲,加拿大,46,119,0,56,99,227,0,0,1
114,美洲,墨西哥,45,17,0,47,17,176,0,0,4
114,美洲,貝里斯,225,6,0,0,0,68,0,0,0
114,美洲,瓜地馬拉,135,1,0,6,0,115,0,0,21
114,美洲,海地,159,0,0,1,1,81,0,0,0
114,美洲,聖露西亞,142,0,0,0,0,67,0,0,0
114,美洲,聖文森,112,0,0,0,0,44,0,0,0
114,美洲,宏都拉斯,74,1,0,0,0,25,0,0,2
114,美洲,尼加拉瓜,18,4,0,0,0,9,0,0,0
114,美洲,千里達,0,0,0,1,25,0,0,0,0
114,美洲,薩爾瓦多,9,0,0,2,0,8,0,0,0
114,美洲,哥斯大黎加,4,7,0,0,0,3,0,0,0
114,美洲,巴拿馬,4,5,0,1,0,4,0,0,0
114,美洲,多明尼加共和國,3,5,0,0,0,1,0,0,1
114,美洲,牙買加,2,0,0,0,0,1,0,0,0
114,美洲,巴哈馬,0,0,0,0,1,0,0,0,0
114,美洲,格瑞那達,1,0,0,0,0,0,0,0,0
114,美洲,巴拉圭,218,21,0,0,1,82,0,0,12
114,美洲,巴西,13,29,0,7,28,40,0,0,1
114,美洲,聖克里斯多福,67,0,0,0,0,43,0,0,0
114,美洲,阿根廷,15,32,0,1,2,43,0,0,7
114,美洲,秘魯,39,2,0,2,2,28,0,0,0
114,美洲,哥倫比亞,26,4,0,5,3,27,0,0,1
114,美洲,厄瓜多,11,8,0,0,0,29,0,0,4
114,美洲,智利,16,5,0,0,4,13,0,1,4
114,美洲,委內瑞拉,2,6,0,1,0,5,0,0,0
114,美洲,玻利維亞,2,2,0,1,1,0,0,0,0
114,美洲,烏拉圭,0,0,0,0,0,3,0,0,0
