Year,Continent,Country,International (Degree),Overseas Chinese (Degree),Mainland (Degree),Exchange (Non-degree),Short-term (Non-degree),Mandarin training (Non-degree),Mainland (Non-degree),Others,Total
105,America,United States,434,222,0,145,403,2495,0,2,3701
105,Asia,Thailand,544,240,0,146,246,595,0,0,1771
104,Asia,China,0,0,7813,0,0,24,34114,0,41951
104,Asia,Malaysia,4465,7053,0,38,848,247,0,2403,15054
104,Asia,Hong Kong,0,7333,0,188,205,507,0,0,8233
104,Asia,Japan,791,175,0,499,1554,3436,0,0,6455
104,Asia,Macau,0,5001,0,21,12,118,0,0,5152
104,Asia,Viet Nam,2586,307,0,50,47,1096,0,373,4459
104,Asia,Indonesia,1623,1101,0,68,162,1442,0,58,4454
104,Asia,South Korea,596,196,0,781,417,2070,0,2,4062
104,America,United States,433,256,0,142,707,2462,0,3,4003
104,Asia,Thailand,506,260,0,129,241,455,0,0,1591
103,Asia,China,0,0,5881,0,0,377,27030,0,33288
103,Asia,Malaysia,3671,6254,0,35,839,85,0,2501,13385
103,Asia,Hong Kong,0,5814,0,193,220,59,0,0,6286
103,Asia,Japan,698,177,0,494,1423,3024,0,0,5816
103,Asia,Macau,0,4693,0,10,3,17,0,0,4723
103,Asia,Viet Nam,2450,291,0,11,41,922,0,290,4005
103,Asia,South Korea,511,186,0,708,248,1933,0,1,3587
103,Asia,Indonesia,1374,971,0,35,134,976,0,69,3559
103,America,United States,419,259,0,182,467,1998,0,3,3328
103,Asia,Thailand,548,268,0,108,150,461,0,0,1535
