Year,Continent,Country,International (Degree),Overseas Chinese (Degree),Mainland (Degree),Exchange (Non-degree),Short-term (Non-degree),Mandarin training (Non-degree),Mainland (Non-degree),Others,Total
113,Asia,Viet Nam,27029,3125,0,155,636,8665,0,85,39695
113,Asia,Indonesia,5548,6605,0,517,429,3314,0,10,16423
113,Asia,Malaysia,2020,7127,0,42,282,211,0,184,9866
113,Asia,Japan,2385,183,0,682,2785,3238,0,1,9274
113,Asia,Hong Kong,0,6278,0,92,300,48,0,0,6718
113,Asia,Thailand,1420,435,0,257,1030,1839,0,3,4984
113,Asia,Philippines,2370,252,0,44,722,1334,0,0,4722
113,Asia,China,0,0,1556,0,0,16,1917,0,3489
113,Asia,Myanmar,351,2152,0,5,28,431,0,19,2986
113,Asia,India,1491,4,0,197,596,389,0,0,2677
113,Asia,South Korea,486,146,0,311,484,969,0,0,2396
113,Asia,Macau,0,1603,0,22,29,37,0,0,1691
113,Asia,Mongolia,428,0,0,6,20,147,0,0,601
113,Asia,Pakistan,425,0,0,2,52,55,0,0,534
113,Asia,Singapore,93,61,0,130,187,17,0,9,497
113,Asia,Russian Federation,191,0,0,27,11,146,0,0,375
113,Asia,Turkey,70,1,0,31,19,70,0,0,191
113,Asia,"Cambodia, Kingdom Of Cambodia",25,89,0,3,9,29,0,1,156
113,Asia,Kyrgyzstan,96,0,0,1,0,37,0,0,134
113,Asia,Iran（Islamic Republic Of Iran）,68,1,0,0,4,22,0,0,95
113,Asia,Nepal,40,0,0,1,3,18,0,0,62
113,Asia,Israel,9,0,0,15,2,35,0,0,61
113,Asia,Bangladesh,36,0,0,1,12,5,0,0,54
113,Asia,Srilanka,43,0,0,0,2,5,0,0,50
113,Asia,Jordan,21,7,0,0,5,14,0,0,47
113,Asia,"Palestinian Territory, Occupied",42,0,0,0,1,0,0,0,43
113,Asia,Kazakhstan,5,0,0,0,24,4,0,0,33
113,Asia,Lao People'S Democratic Republic,18,0,0,1,0,5,0,0,24
113,Asia,Yemen,7,0,0,1,2,5,0,0,15
113,Asia,Bahrain,3,0,0,0,10,0,0,0,13
113,Asia,Bhutan,1,0,0,0,1,10,0,0,12
113,Asia,Oman,2,0,0,0,10,0,0,0,12
113,Asia,Trukmenistan,6,0,0,0,0,5,0,0,11
113,Asia,Saudi Arabia,4,3,0,0,1,2,0,0,10
113,Asia,Brunei Darussalam,3,4,0,0,0,3,0,0,10
113,Asia,Iraq,6,0,0,0,0,3,0,0,9
113,Asia,Afghanistan,7,0,0,0,0,1,0,0,8
113,Asia,Uzbekistan,6,0,0,1,1,0,0,0,8
113,Asia,Tajikistan,5,0,0,0,0,2,0,0,7
113,Asia,Lebanon,1,1,0,0,1,3,0,0,6
113,Asia,Syrian Arab Republic,1,0,0,1,1,2,0,0,5
113,Asia,Armenia,1,0,0,2,1,1,0,0,5
113,Asia,Georgia,1,0,0,0,3,0,0,0,4
113,Asia,Azerbaijan,1,0,0,0,2,0,0,0,3
113,Asia,Kuwait,0,0,0,0,0,2,0,0,2
113,Asia,Moldova Republic Of,0,0,0,0,1,1,0,0,2
113,Asia,Maldives,0,0,0,0,1,0,0,0,1
113,Oceania,Australia,23,4,0,29,200,308,0,0,564
113,Oceania,New Zealand,7,9,0,9,30,61,0,1,117
113,Oceania,Marshall Islands,39,1,0,0,0,31,0,0,71
113,Oceania,Palau,46,2,0,0,0,17,0,0,65
