學年度,洲別,國別,學位生_正式修讀學位外國生[人],學位生_僑生(含港澳)[人],學位生_正式修讀學位陸生[人],非學位生_外國交換生[人],非學位生_外國短期研習及個人選讀[人],非學位生_大專附設華語文中心學生[人],非學位生_大陸研修生[人],非學位生_海外青年就學輔導技術研習班[人],境外專班[人]
113,非洲,多哥,1,0,0,0,0,0,0,0,0
113,非洲,尚比亞,1,0,0,0,0,0,0,0,0
113,非洲,南蘇丹共和國,1,0,0,0,0,0,0,0,0
113,歐洲,法國,146,6,0,1077,67,667,0,0,0
113,歐洲,德國,133,4,0,615,100,437,0,0,0
113,歐洲,英國,73,7,0,107,46,417,0,0,0
113,歐洲,西班牙,45,2,0,144,9,136,0,0,0
113,歐洲,荷蘭,16,1,0,152,11,110,0,0,0
113,歐洲,義大利,54,1,0,102,21,107,0,0,0
113,歐洲,波蘭,44,2,0,40,33,162,0,0,0
113,歐洲,捷克,29,0,0,101,37,72,0,0,0
113,歐洲,奧地利,28,0,0,59,21,48,0,0,0
113,歐洲,比利時,15,2,0,63,3,72,0,0,0
113,歐洲,烏克蘭,73,0,0,9,3,56,0,0,0
113,歐洲,瑞典,7,0,0,69,1,46,0,0,0
113,歐洲,芬蘭,5,0,0,65,1,36,0,0,0
113,歐洲,瑞士,12,0,0,36,4,52,0,0,0
113,歐洲,挪威,7,0,0,44,2,46,0,0,0
113,歐洲,匈牙利,18,2,0,22,9,43,0,0,0
113,歐洲,立陶宛,8,0,0,29,19,28,0,0,0
113,歐洲,斯洛伐克,7,0,0,24,17,28,0,0,0
113,歐洲,丹麥,5,0,0,33,4,31,0,0,0
113,歐洲,葡萄牙,9,9,0,7,3,16,0,0,0
113,歐洲,愛爾蘭,9,0,0,2,0,22,0,0,0
113,歐洲,羅馬尼亞,3,0,0,8,5,7,0,0,0
113,歐洲,斯洛維尼亞,5,0,0,5,0,11,0,0,0
113,歐洲,白俄羅斯,4,1,0,1,2,8,0,0,0
113,歐洲,希臘,2,0,0,1,3,6,0,0,0
113,歐洲,盧森堡,2,0,0,5,1,4,0,0,0
113,歐洲,拉脫維亞,3,0,0,5,1,3,0,0,0
113,歐洲,保加利亞,1,0,0,4,4,1,0,0,0
113,歐洲,愛沙尼亞,1,0,0,3,1,5,0,0,0
113,歐洲,克羅埃西亞,1,0,0,4,1,3,0,0,0
113,歐洲,阿爾巴尼亞,1,0,0,0,0,6,0,0,0
113,歐洲,塞爾維亞共和國,4,0,0,0,0,1,0,0,0
113,歐洲,科索沃共和國,1,0,0,0,3,0,0,0,0
113,歐洲,冰島,0,0,0,0,0,1,0,0,0
113,歐洲,列支敦斯登,0,0,0,1,0,0,0,0,0
113,美洲,美國,382,139,0,295,769,2400,0,0,7
113,美洲,加拿大,47,128,0,50,26,199,0,0,3
113,美洲,貝里斯,223,1,0,0,0,86,0,0,0
113,美洲,墨西哥,54,10,0,28,21,117,0,0,3
113,美洲,瓜地馬拉,114,1,0,1,0,77,0,0,15
113,美洲,海地,139,0,0,0,0,46,0,0,0
113,美洲,聖露西亞,130,0,0,0,0,55,0,0,0
113,美洲,聖文森,113,0,0,0,0,57,0,0,0
113,美洲,宏都拉斯,114,1,0,0,0,38,0,0,0
113,美洲,尼加拉瓜,31,3,0,0,0,4,0,0,0
113,美洲,薩爾瓦多,11,3,0,1,0,9,0,0,0
113,美洲,巴拿馬,8,3,0,0,1,4,0,0,0
113,美洲,哥斯大黎加,2,5,0,0,0,2,0,0,0
113,美洲,多明尼加,1,6,0,0,0,0,0,0,0
113,美洲,千里達,0,0,0,2,3,0,0,0,0
113,美洲,牙買加,1,0,0,0,0,1,0,0,0
113,美洲,巴哈馬,1,0,0,0,0,0,0,0,0
113,美洲,格瑞那達,1,0,0,0,0,0,0,0,0
113,美洲,多米尼克,0,0,0,0,0,0,0,0,1
113,美洲,巴拉圭,212,19,0,94,5,134,0,0,9
113,美洲,巴西,20,31,0,21,12,61,0,0,0
113,美洲,阿根廷,10,38,0,2,4,39,0,0,4
113,美洲,秘魯,42,1,0,3,0,40,0,0,0
113,美洲,聖克里斯多福,60,0,0,0,0,26,0,0,0
113,美洲,哥倫比亞,31,2,0,7,0,21,0,0,1
113,美洲,厄瓜多,15,10,0,2,0,18,0,0,3
113,美洲,智利,18,7,0,1,1,15,0,0,3
113,美洲,委內瑞拉,6,5,0,3,5,6,0,0,0
113,美洲,玻利維亞,3,1,0,0,0,3,0,0,0
113,美洲,烏拉圭,0,0,0,0,0,0,0,0,1
